                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.69765,                 1.5771,                0.57861,                 1.0611,                0.91042,                0.89602,                0.95022,                 0.7883,                0.47614,                0.48213,                0.47802,                0.35248,                0.60612,                 1.3517,                0.45836,                0.94587,               0.005545,               0.005545,               0.005545
                     47,                0.69494,                 1.5737,                0.57691,                 1.0602,                0.91017,                0.89609,                0.95029,                0.78847,                0.47558,                0.48298,                0.47764,                0.35241,                 0.6058,                  1.351,                0.45768,                0.94562,               0.005446,               0.005446,               0.005446
                     48,                0.69315,                 1.5656,                0.57327,                 1.0604,                0.91154,                0.89631,                0.95057,                0.78921,                0.47628,                 0.4829,                0.47788,                0.35251,                0.60514,                 1.3496,                0.45695,                0.94502,               0.005347,               0.005347,               0.005347
                     49,                0.69321,                 1.5677,                0.57325,                 1.0602,                0.91045,                0.89776,                0.95069,                0.78964,                0.47688,                0.48331,                0.47796,                0.35264,                0.60465,                 1.3486,                 0.4561,                0.94481,               0.005248,               0.005248,               0.005248
                     50,                0.69083,                  1.563,                0.57326,                 1.0583,                0.91077,                0.89703,                0.95071,                0.78984,                0.47721,                0.48412,                0.47812,                 0.3528,                0.60386,                 1.3471,                0.45531,                0.94409,               0.005149,               0.005149,               0.005149
                     51,                0.69159,                 1.5645,                0.57138,                 1.0579,                0.91046,                0.89759,                0.95082,                0.79001,                0.47756,                0.48491,                0.47832,                0.35306,                0.60274,                  1.346,                0.45487,                0.94328,                0.00505,                0.00505,                0.00505
                     52,                0.68892,                 1.5595,                 0.5695,                 1.0568,                0.90916,                 0.8988,                0.95092,                0.79068,                0.47838,                 0.4839,                0.47823,                0.35303,                0.60226,                 1.3453,                  0.454,                0.94301,               0.004951,               0.004951,               0.004951
                     53,                0.68836,                 1.5546,                 0.5679,                 1.0568,                0.90902,                0.89896,                0.95111,                 0.7909,                 0.4781,                0.48446,                0.47884,                0.35322,                0.60154,                 1.3444,                0.45307,                0.94248,               0.004852,               0.004852,               0.004852
                     54,                0.68607,                 1.5528,                0.56644,                 1.0545,                0.91063,                0.89707,                0.95108,                 0.7911,                0.48016,                0.48442,                0.47898,                0.35338,                0.60113,                 1.3433,                 0.4525,                0.94204,               0.004753,               0.004753,               0.004753
                     55,                0.68579,                 1.5554,                 0.5668,                 1.0539,                0.91145,                0.89687,                0.95131,                0.79139,                0.48134,                0.48465,                0.47909,                 0.3534,                0.60079,                 1.3424,                0.45181,                0.94163,               0.004654,               0.004654,               0.004654
                     56,                0.68428,                 1.5492,                0.56472,                 1.0551,                0.91006,                0.89891,                0.95135,                0.79171,                0.48052,                 0.4846,                0.47902,                 0.3535,                0.60073,                 1.3414,                0.45106,                0.94143,               0.004555,               0.004555,               0.004555
                     57,                0.68242,                 1.5452,                0.56301,                 1.0542,                0.91267,                0.89652,                0.95156,                0.79203,                0.48006,                 0.4853,                0.47925,                0.35349,                0.60009,                 1.3409,                0.45054,                0.94121,               0.004456,               0.004456,               0.004456
                     58,                0.68169,                 1.5472,                0.56175,                 1.0536,                0.91118,                0.89711,                 0.9516,                0.79232,                0.48049,                0.48629,                0.47942,                0.35376,                0.59968,                 1.3401,                0.44988,                0.94089,               0.004357,               0.004357,               0.004357
                     59,                0.67968,                 1.5419,                0.55922,                 1.0511,                0.91072,                0.89819,                0.95176,                0.79266,                0.48078,                0.48661,                0.48081,                0.35419,                0.59911,                 1.3394,                0.44948,                0.94031,               0.004258,               0.004258,               0.004258
                     60,                0.67812,                 1.5396,                0.55635,                 1.0517,                0.91011,                0.89914,                0.95165,                0.79262,                0.48188,                0.48669,                0.48103,                0.35436,                0.59909,                 1.3382,                0.44892,                0.94017,               0.004159,               0.004159,               0.004159
                     61,                0.67657,                 1.5346,                0.55603,                 1.0501,                0.90933,                0.89943,                0.95161,                0.79289,                0.48136,                0.48742,                0.48099,                0.35459,                0.59876,                 1.3375,                0.44849,                0.93973,                0.00406,                0.00406,                0.00406
                     62,                0.67642,                  1.531,                0.55573,                 1.0507,                0.90976,                0.89953,                0.95184,                 0.7933,                0.48164,                0.48757,                0.48103,                0.35476,                0.59804,                 1.3364,                0.44788,                0.93919,               0.003961,               0.003961,               0.003961
                     63,                0.67322,                 1.5287,                0.55168,                 1.0485,                0.90999,                0.89948,                0.95199,                0.79363,                0.48213,                0.48799,                0.47997,                0.35453,                0.59764,                 1.3355,                0.44718,                0.93881,               0.003862,               0.003862,               0.003862
                     64,                0.67186,                 1.5271,                0.55092,                 1.0491,                0.90945,                 0.8999,                0.95203,                0.79392,                0.48133,                0.48833,                 0.4801,                0.35473,                0.59745,                 1.3347,                0.44678,                0.93881,               0.003763,               0.003763,               0.003763
                     65,                0.67177,                 1.5227,                0.54972,                 1.0468,                0.91084,                0.89871,                0.95221,                0.79426,                0.48061,                0.48898,                0.47966,                0.35484,                 0.5968,                 1.3333,                0.44608,                0.93801,               0.003664,               0.003664,               0.003664
                     66,                0.66876,                 1.5179,                0.54616,                 1.0435,                0.91066,                 0.8996,                0.95218,                0.79459,                0.48175,                0.48819,                0.47963,                0.35495,                0.59632,                 1.3324,                0.44542,                0.93728,               0.003565,               0.003565,               0.003565
                     67,                 0.6674,                 1.5168,                0.54599,                 1.0445,                0.91117,                0.89874,                0.95227,                0.79497,                0.48325,                0.48786,                0.47992,                0.35514,                0.59591,                 1.3314,                0.44496,                0.93646,               0.003466,               0.003466,               0.003466
                     68,                0.66679,                 1.5162,                 0.5453,                 1.0445,                0.91217,                0.89915,                0.95227,                0.79526,                0.48335,                  0.487,                0.47981,                0.35524,                0.59515,                 1.3298,                0.44457,                0.93574,               0.003367,               0.003367,               0.003367
                     69,                0.66488,                 1.5114,                0.54496,                 1.0453,                0.91167,                0.89972,                0.95233,                0.79542,                0.48531,                0.48627,                0.47997,                 0.3553,                0.59472,                 1.3288,                0.44441,                0.93528,               0.003268,               0.003268,               0.003268
                     70,                0.66279,                 1.5073,                0.54085,                 1.0412,                0.91174,                0.89963,                0.95239,                0.79599,                0.48486,                0.48627,                0.48018,                0.35545,                0.59393,                  1.328,                0.44398,                0.93418,               0.003169,               0.003169,               0.003169
                     71,                0.66239,                  1.507,                0.54024,                 1.0424,                0.91175,                0.89959,                0.95219,                0.79598,                0.48466,                0.48702,                0.48022,                 0.3555,                0.59336,                 1.3267,                0.44345,                0.93379,                0.00307,                0.00307,                0.00307
                     72,                0.65969,                 1.5013,                0.53878,                 1.0412,                0.91116,                0.90075,                0.95218,                0.79651,                0.48453,                0.48855,                0.48029,                0.35551,                 0.5925,                 1.3259,                0.44331,                0.93311,               0.002971,               0.002971,               0.002971
                     73,                0.65671,                 1.4995,                0.53499,                 1.0391,                0.91102,                0.90055,                0.95213,                0.79678,                0.48644,                0.48875,                0.48097,                0.35574,                0.59201,                 1.3254,                0.44292,                0.93282,               0.002872,               0.002872,               0.002872
                     74,                0.65626,                 1.4963,                0.53548,                 1.0404,                0.91033,                0.90129,                0.95244,                0.79696,                0.48735,                0.48852,                0.48114,                0.35577,                0.59159,                 1.3247,                 0.4427,                0.93259,               0.002773,               0.002773,               0.002773
                     75,                0.65385,                 1.4937,                0.53252,                 1.0373,                0.91178,                0.90067,                0.95244,                0.79719,                0.48724,                0.48881,                 0.4812,                  0.356,                0.59137,                 1.3241,                0.44227,                0.93245,               0.002674,               0.002674,               0.002674
                     76,                0.65254,                 1.4883,                0.53092,                 1.0362,                0.91127,                0.90147,                0.95249,                0.79733,                0.48627,                 0.4891,                0.48119,                0.35608,                0.59107,                 1.3237,                0.44185,                0.93201,               0.002575,               0.002575,               0.002575
                     77,                0.65154,                 1.4854,                0.52924,                 1.0367,                 0.9118,                0.90035,                0.95251,                0.79754,                0.48747,                0.48844,                0.48096,                0.35603,                0.59063,                 1.3228,                0.44162,                0.93141,               0.002476,               0.002476,               0.002476
                     78,                0.64944,                  1.483,                0.52641,                 1.0369,                0.91076,                 0.9007,                0.95246,                 0.7979,                0.48481,                 0.4907,                0.48101,                0.35606,                0.59023,                 1.3224,                0.44139,                0.93144,               0.002377,               0.002377,               0.002377
                     79,                 0.6461,                  1.478,                 0.5236,                 1.0318,                0.91174,                0.90041,                0.95283,                0.79816,                0.48598,                0.49055,                0.48106,                0.35613,                0.58997,                 1.3223,                0.44103,                 0.9305,               0.002278,               0.002278,               0.002278
                     80,                0.64545,                 1.4755,                  0.523,                 1.0329,                0.91215,                0.90022,                0.95278,                0.79829,                0.48548,                0.49123,                0.48108,                0.35604,                0.58953,                 1.3213,                0.44093,                0.92979,               0.002179,               0.002179,               0.002179
                     81,                0.64536,                 1.4697,                0.52114,                  1.032,                0.91343,                0.90043,                0.95287,                0.79868,                0.48497,                0.49199,                0.48111,                0.35623,                0.58919,                 1.3203,                0.44078,                0.92905,                0.00208,                0.00208,                0.00208
                     82,                0.64102,                 1.4684,                 0.5167,                 1.0312,                0.91367,                    0.9,                0.95272,                0.79876,                0.48687,                0.49021,                0.48146,                0.35649,                0.58862,                 1.3196,                0.44061,                0.92883,               0.001981,               0.001981,               0.001981
                     83,                0.63699,                  1.459,                 0.5137,                 1.0285,                 0.9142,                0.89967,                0.95265,                0.79889,                0.48815,                 0.4893,                0.48123,                0.35647,                0.58786,                  1.319,                0.44044,                0.92864,               0.001882,               0.001882,               0.001882
